url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26112591-freelance-sales-marketing-manager,26112591,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112602-freelance-sales-marketing-manager,26112602,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112604-freelance-sales-marketing-manager,26112604,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112605-freelance-sales-marketing-manager,26112605,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112606-freelance-sales-marketing-manager,26112606,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112600-freelance-sales-manager,26112600,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112593-freelance-business-development-manager,26112593,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112603-freelance-sales-marketing-manager,26112603,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112592-freelance-marketing-and-sales-manager,26112592,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112594-freelance-marketing-manager,26112594,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112597-freelance-marketing-and-sales-manager,26112597,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26123879-freelance-sales-agent,26123879,Freelance Sales Agent,Dakar Trucks Solutions Sdn Bhd,Undisclosed,"Freelance,","Kapar, Selangor",Undisclosed,19 days ago,"Business Development, Customer Service",wfh-selangor
https://www.maukerja.my/job/26112599-freelance-marketing-manager,26112599,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26043617-jualan-freelance,26043617,Jualan (Freelance),Omnimesh Logistics Sdn Bhd,Undisclosed,"Freelance,","Telok Panglima Garang, Selangor",Undisclosed,a month ago,"Sales, Business Development",wfh-selangor
https://www.maukerja.my/job/26030226-telesales-admin-representative,26030226,Telesales Admin Representative,Blue Martin Sdn. Bhd.,"MYR2,000 - MYR10,000 monthly","Sepenuh Masa,","Puchong, Selangor","MYR2,000 - MYR10,000 monthly",a month ago,"Excellent communication skills, Sales experience",wfh-selangor
https://www.maukerja.my/job/24204686-eksekutif-jualan,24204686,Eksekutif Jualan,Univacco Technology (M) Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan","Sepenuh Masa,","Balakong, Selangor","MYR2,000 - MYR3,500 Sebulan",12 days ago,"Customer Relationship Management (CRM), Communication",wfh-selangor
https://www.maukerja.my/job/26025219-medical-advisor,26025219,MEDICAL ADVISOR,First Smart Life Health Centre,"MYR3,000 - MYR7,000 Sebulan","Kontrak,","Batu Caves, Selangor","MYR3,000 - MYR7,000 Sebulan",2 days ago,"Communication, Leadership",wfh-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-selangor
https://www.maukerja.my/job/26270777-structural-design-engineer,26270777,Structural Design Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270775-structural-engineer,26270775,Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270776-civil-structural-engineer,26270776,Civil Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26193934-community-engagement,26193934,Community Engagement,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",a day ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194622-community-specialist,26194622,Community Specialist,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194623-community-coordinator,26194623,Community Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194621-social-media-coordinator,26194621,Social Media Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26196771-cantonese-interpreter,26196771,Cantonese Interpreter,Tech Mahindra ICT Services Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan","Kontrak,","Cyberjaya, Selangor","MYR2,000 - MYR5,000 Sebulan",10 days ago,Communication,wfh-selangor
https://www.maukerja.my/job/26196161-part-time-content-creator,26196161,Part-Time Content Creator,Syarikat Nang Hin Trading Sdn Bhd,MYR300 - MYR600 Sebulan,"Separuh Masa,","Puchong, Selangor",MYR300 - MYR600 Sebulan,3 days ago,"Adobe Illustrator, Adobe Photoshop",wfh-selangor
https://www.maukerja.my/job/26112598-freelance-business-development-manager,26112598,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112601-freelance-account-manager,26112601,Freelance Account Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112595-freelance-sales-manager,26112595,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112596-freelance-account-manager,26112596,Freelance Account Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112591-freelance-sales-marketing-manager,26112591,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112602-freelance-sales-marketing-manager,26112602,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112604-freelance-sales-marketing-manager,26112604,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112605-freelance-sales-marketing-manager,26112605,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112606-freelance-sales-marketing-manager,26112606,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112600-freelance-sales-manager,26112600,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112593-freelance-business-development-manager,26112593,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112603-freelance-sales-marketing-manager,26112603,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112592-freelance-marketing-and-sales-manager,26112592,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112594-freelance-marketing-manager,26112594,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112597-freelance-marketing-and-sales-manager,26112597,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26123879-freelance-sales-agent,26123879,Freelance Sales Agent,Dakar Trucks Solutions Sdn Bhd,Undisclosed,"Freelance,","Kapar, Selangor",Undisclosed,19 days ago,"Business Development, Customer Service",wfh-selangor
https://www.maukerja.my/job/26112599-freelance-marketing-manager,26112599,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26043617-jualan-freelance,26043617,Jualan (Freelance),Omnimesh Logistics Sdn Bhd,Undisclosed,"Freelance,","Telok Panglima Garang, Selangor",Undisclosed,a month ago,"Sales, Business Development",wfh-selangor
https://www.maukerja.my/job/26030226-telesales-admin-representative,26030226,Telesales Admin Representative,Blue Martin Sdn. Bhd.,"MYR2,000 - MYR10,000 monthly","Sepenuh Masa,","Puchong, Selangor","MYR2,000 - MYR10,000 monthly",a month ago,"Excellent communication skills, Sales experience",wfh-selangor
https://www.maukerja.my/job/24204686-eksekutif-jualan,24204686,Eksekutif Jualan,Univacco Technology (M) Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan","Sepenuh Masa,","Balakong, Selangor","MYR2,000 - MYR3,500 Sebulan",12 days ago,"Customer Relationship Management (CRM), Communication",wfh-selangor
https://www.maukerja.my/job/26025219-medical-advisor,26025219,MEDICAL ADVISOR,First Smart Life Health Centre,"MYR3,000 - MYR7,000 Sebulan","Kontrak,","Batu Caves, Selangor","MYR3,000 - MYR7,000 Sebulan",2 days ago,"Communication, Leadership",wfh-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-selangor
https://www.maukerja.my/job/26270777-structural-design-engineer,26270777,Structural Design Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270775-structural-engineer,26270775,Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270776-civil-structural-engineer,26270776,Civil Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26193934-community-engagement,26193934,Community Engagement,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",a day ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194622-community-specialist,26194622,Community Specialist,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194623-community-coordinator,26194623,Community Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194621-social-media-coordinator,26194621,Social Media Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26196771-cantonese-interpreter,26196771,Cantonese Interpreter,Tech Mahindra ICT Services Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan","Kontrak,","Cyberjaya, Selangor","MYR2,000 - MYR5,000 Sebulan",10 days ago,Communication,wfh-selangor
https://www.maukerja.my/job/26196161-part-time-content-creator,26196161,Part-Time Content Creator,Syarikat Nang Hin Trading Sdn Bhd,MYR300 - MYR600 Sebulan,"Separuh Masa,","Puchong, Selangor",MYR300 - MYR600 Sebulan,3 days ago,"Adobe Illustrator, Adobe Photoshop",wfh-selangor
https://www.maukerja.my/job/26112598-freelance-business-development-manager,26112598,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112601-freelance-account-manager,26112601,Freelance Account Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112595-freelance-sales-manager,26112595,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112596-freelance-account-manager,26112596,Freelance Account Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112591-freelance-sales-marketing-manager,26112591,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112602-freelance-sales-marketing-manager,26112602,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112604-freelance-sales-marketing-manager,26112604,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112605-freelance-sales-marketing-manager,26112605,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112606-freelance-sales-marketing-manager,26112606,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112600-freelance-sales-manager,26112600,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112593-freelance-business-development-manager,26112593,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112603-freelance-sales-marketing-manager,26112603,Freelance Sales & Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112592-freelance-marketing-and-sales-manager,26112592,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112594-freelance-marketing-manager,26112594,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112597-freelance-marketing-and-sales-manager,26112597,Freelance Marketing and Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26123879-freelance-sales-agent,26123879,Freelance Sales Agent,Dakar Trucks Solutions Sdn Bhd,Undisclosed,"Freelance,","Kapar, Selangor",Undisclosed,19 days ago,"Business Development, Customer Service",wfh-selangor
https://www.maukerja.my/job/26112599-freelance-marketing-manager,26112599,Freelance Marketing Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26043617-jualan-freelance,26043617,Jualan (Freelance),Omnimesh Logistics Sdn Bhd,Undisclosed,"Freelance,","Telok Panglima Garang, Selangor",Undisclosed,a month ago,"Sales, Business Development",wfh-selangor
https://www.maukerja.my/job/26030226-telesales-admin-representative,26030226,Telesales Admin Representative,Blue Martin Sdn. Bhd.,"MYR2,000 - MYR10,000 monthly","Sepenuh Masa,","Puchong, Selangor","MYR2,000 - MYR10,000 monthly",a month ago,"Excellent communication skills, Sales experience",wfh-selangor
https://www.maukerja.my/job/24204686-eksekutif-jualan,24204686,Eksekutif Jualan,Univacco Technology (M) Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan","Sepenuh Masa,","Balakong, Selangor","MYR2,000 - MYR3,500 Sebulan",12 days ago,"Customer Relationship Management (CRM), Communication",wfh-selangor
https://www.maukerja.my/job/26025219-medical-advisor,26025219,MEDICAL ADVISOR,First Smart Life Health Centre,"MYR3,000 - MYR7,000 Sebulan","Kontrak,","Batu Caves, Selangor","MYR3,000 - MYR7,000 Sebulan",2 days ago,"Communication, Leadership",wfh-selangor
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-selangor
https://www.maukerja.my/job/26270777-structural-design-engineer,26270777,Structural Design Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270775-structural-engineer,26270775,Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26270776-civil-structural-engineer,26270776,Civil Structural Engineer,Asas Innovasi (M) Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan","Sepenuh Masa,","Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Sebulan",20 hours ago,Light Gauge Steel Engineer for Civil Housing Jobs,wfh-selangor
https://www.maukerja.my/job/26193934-community-engagement,26193934,Community Engagement,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",a day ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194622-community-specialist,26194622,Community Specialist,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194623-community-coordinator,26194623,Community Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26194621-social-media-coordinator,26194621,Social Media Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan","Kontrak,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Sebulan",11 days ago,"Community Management, Social Media Marketing",wfh-selangor
https://www.maukerja.my/job/26196771-cantonese-interpreter,26196771,Cantonese Interpreter,Tech Mahindra ICT Services Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan","Kontrak,","Cyberjaya, Selangor","MYR2,000 - MYR5,000 Sebulan",10 days ago,Communication,wfh-selangor
https://www.maukerja.my/job/26196161-part-time-content-creator,26196161,Part-Time Content Creator,Syarikat Nang Hin Trading Sdn Bhd,MYR300 - MYR600 Sebulan,"Separuh Masa,","Puchong, Selangor",MYR300 - MYR600 Sebulan,3 days ago,"Adobe Illustrator, Adobe Photoshop",wfh-selangor
https://www.maukerja.my/job/26112598-freelance-business-development-manager,26112598,Freelance Business Development Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112601-freelance-account-manager,26112601,Freelance Account Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
https://www.maukerja.my/job/26112595-freelance-sales-manager,26112595,Freelance Sales Manager,Inter-Continental Freight Sdn Bhd,"MYR7,000 - MYR10,000 Sebulan","Freelance,","Klang, Selangor","MYR7,000 - MYR10,000 Sebulan",21 days ago,"Logistics Industry Knowledge, Marketing Strategy",wfh-selangor
